#,,Building Name,City,Height (m),Height (ft),Floors,Completion,Material,Use
1,,International Commerce Centre,Hong Kong (CN),484,"1,588",108,2010,composite,hotel / office
2,,Two International Finance Centre,Hong Kong (CN),412,"1,352",88,2003,composite,office
3,,Central Plaza,Hong Kong (CN),373.9,"1,227",78,1992,concrete,office
4,,Bank of China Tower,Hong Kong (CN),367.4,"1,205",72,1990,composite,office
5,,The Center,Hong Kong (CN),346,"1,135",73,1998,steel,office
6,,Nina Tower,Hong Kong (CN),320.4,"1,051",80,2006,concrete,hotel / office
7,,One Island East,Hong Kong (CN),298.1,978,68,2008,concrete,office
8,,URA Tower - DA4,Hong Kong (CN),285,935,-,-,,observation / hotel / office
9,,Cheung Kong Centre,Hong Kong (CN),282.8,928,63,1999,steel,office
10,,Kwun Tong Town Centre,Hong Kong (CN),279.8,918,-,-,concrete,hotel / office
11,,Victoria Dockside,Hong Kong (CN),274.5,901,64,2017,concrete,serviced apartments / hotel / office
12,,The Cullinan I,Hong Kong (CN),269.9,886,68,2008,concrete,residential
12,,The Cullinan II,Hong Kong (CN),269.9,886,68,2008,concrete,residential / hotel
14,,The Masterpiece,Hong Kong (CN),257,843,64,2009,concrete,residential / hotel
15,,Sorrento 1,Hong Kong (CN),256.4,841,75,2003,concrete,residential
16,,Langham Place Office Tower,Hong Kong (CN),255.1,837,59,2004,concrete,office
17,,Highcliff,Hong Kong (CN),252.3,828,73,2003,concrete,residential
18,,The Harbourside,Hong Kong (CN),251.2,824,73,2003,concrete,residential
19,,Lee Garden One,Hong Kong (CN),240.4,789,50,1998,composite,office
20,,Sorrento 2,Hong Kong (CN),235.7,773,66,2003,concrete,residential
21,,Harbourfront Landmark,Hong Kong (CN),232.6,763,69,2003,concrete,residential
22,,The Arch,Hong Kong (CN),231,758,65,2005,concrete,residential
23,,One Taikoo Place,Hong Kong (CN),228.6,750,48,2018,concrete,office
24,,COSCO Tower,Hong Kong (CN),228,748,52,1997,concrete,office
25,,The Belcher's Tower 5,Hong Kong (CN),226.7,744,61,2001,concrete,residential
25,,The Belcher's Tower 6,Hong Kong (CN),226.7,744,61,2001,concrete,residential
27,,Hopewell Centre,Hong Kong (CN),222,728,64,1981,concrete,office
28,,The Belcher's Tower 1,Hong Kong (CN),220.6,724,63,2000,concrete,residential
28,,The Belcher's Tower 2,Hong Kong (CN),220.6,724,63,2000,concrete,residential
30,,Tregunter Tower III,Hong Kong (CN),219.9,721,68,1993,concrete,residential
31,,The Summit,Hong Kong (CN),219.8,721,69,2002,concrete,residential
32,,Grand Promenade Towers 2-3-5,Hong Kong (CN),218.9,718,66,2005,concrete,residential
33,,Sorrento 3,Hong Kong (CN),218,715,64,2003,concrete,residential
34,,LOHAS Park Le Prestige Tower B,Hong Kong (CN),215,705,70,2011,concrete,residential
35,,Sun Hung Kai Centre,Hong Kong (CN),214.5,704,56,1991,concrete,office
36,,The Belcher's Tower 3,Hong Kong (CN),214.4,704,61,2000,concrete,residential
36,,The Belcher's Tower 8,Hong Kong (CN),214.4,704,61,2001,concrete,residential
38,,Shangri-La Hotel,Hong Kong (CN),213.1,699,57,1991,,hotel
39,,Victoria Towers I,Hong Kong (CN),213,699,62,2003,concrete,residential
39,,Victoria Towers II,Hong Kong (CN),213,699,62,2003,concrete,residential
39,,Victoria Towers III,Hong Kong (CN),213,699,62,2003,concrete,residential
42,,Shining Heights,Hong Kong (CN),213,699,55,2009,concrete,residential
43,,Sorrento 5,Hong Kong (CN),212.1,696,62,2003,concrete,residential
44,,Indi Home,Hong Kong (CN),212,696,56,2005,concrete,residential
45,,LOHAS Park The Capitol Oslo,Hong Kong (CN),210,689,69,2009,concrete,residential
45,,LOHAS Park The Capitol Whistler,Hong Kong (CN),210,689,69,2009,concrete,residential
47,,One International Finance Centre,Hong Kong (CN),210,689,38,1999,steel,office
48,,Grand Promenade Tower 1,Hong Kong (CN),209,686,63,2005,concrete,residential
48,,Grand Promenade Tower 6,Hong Kong (CN),209,686,63,2005,concrete,residential
50,,Metro Plaza Tower II,Hong Kong (CN),208.9,685,47,1992,concrete,office
51,,Sorrento 6,Hong Kong (CN),206.1,676,60,2003,concrete,residential
52,,LOHAS Park The Capitol Madrid,Hong Kong (CN),206,676,67,2009,concrete,residential
52,,LOHAS Park The Capitol Milan,Hong Kong (CN),206,676,67,2009,concrete,residential
54,,Bellagio Tower 1-5,Hong Kong (CN),206,676,64,2005,concrete,residential
55,,Citibank Plaza 1,Hong Kong (CN),205.5,674,51,1992,concrete,office
56,,May House,Hong Kong (CN),205.5,674,47,2004,concrete,government
57,,Metro Town Tower 1,Hong Kong (CN),205,673,62,2006,concrete,residential
57,,Metro Town Tower 2,Hong Kong (CN),205,673,62,2006,concrete,residential
59,,Four Seasons Place,Hong Kong (CN),205,673,55,2005,concrete,residential / hotel
60,,Hysan Place,Hong Kong (CN),204.1,670,36,2012,composite,office / retail
61,,Island Resort Towers 1 & 2,Hong Kong (CN),202.2,663,60,2001,concrete,residential
61,,Island Resort Towers 3 & 5,Hong Kong (CN),202.2,663,60,2001,concrete,residential
61,,Island Resort Towers 6 & 7,Hong Kong (CN),202.2,663,60,2001,concrete,residential
61,,Island Resort Towers 8 & 9,Hong Kong (CN),202.2,663,60,2001,concrete,residential
65,,China Online Centre,Hong Kong (CN),201.3,660,52,2000,,office
66,,LOHAS Park Le Prestige Tower A,Hong Kong (CN),200,656,65,2010,concrete,residential
66,,LOHAS Park Le Prestige Tower C,Hong Kong (CN),200,656,65,2012,concrete,residential
66,,LOHAS Park The Capitol Florence,Hong Kong (CN),200,656,65,2009,concrete,residential
69,,Conrad Hong Kong,Hong Kong (CN),198.9,653,61,1990,,hotel / residential
70,,Queensway Government Office Building,Hong Kong (CN),198.7,652,47,1985,,office
71,,Le Point Tower 6,Hong Kong (CN),198.3,650,60,2008,concrete,residential
71,,Le Point Tower 7,Hong Kong (CN),198.3,650,60,2008,concrete,residential
73,,Bellagio Tower 6-9,Hong Kong (CN),198,650,60,2002,concrete,residential
74,,The Merton 1,Hong Kong (CN),197,646,59,2005,concrete,residential
75,,Wharf Cable Tower,Hong Kong (CN),196.6,645,41,1993,steel,office
76,,Aigburth,Hong Kong (CN),195.9,643,48,1999,concrete,residential
77,,Le Point Tower 10,Hong Kong (CN),195,640,59,2008,concrete,residential
77,,Le Point Tower 8,Hong Kong (CN),195,640,59,2008,concrete,residential
77,,Le Point Tower 9,Hong Kong (CN),195,640,59,2008,concrete,residential
80,,Vision City Tower 2,Hong Kong (CN),195,640,54,2007,concrete,residential
80,,Vision City Tower 3,Hong Kong (CN),195,640,54,2007,concrete,residential
80,,Vision City Tower 5,Hong Kong (CN),195,640,54,2007,concrete,residential
83,,"NatWest Tower, Times Square",Hong Kong (CN),193.9,636,46,1993,concrete,office / retail
84,,Manhattan Hill 1-2,Hong Kong (CN),193,633,51,2007,concrete,residential
85,,Vision City Tower 1,Hong Kong (CN),192,630,53,2007,concrete,residential
86,,39 Conduit Road,Hong Kong (CN),191.6,629,42,2009,concrete,residential
87,,Banyan Garden 2,Hong Kong (CN),191.4,628,57,2003,concrete,residential
87,,Banyan Garden 6,Hong Kong (CN),191.4,628,57,2003,concrete,residential
87,,Banyan Garden 7,Hong Kong (CN),191.4,628,57,2003,concrete,residential
90,,Two Taikoo Place,Hong Kong (CN),191,627,46,2021,,office
91,,The Merton 2,Hong Kong (CN),189,620,56,2005,concrete,residential
92,,The Centrium,Hong Kong (CN),188.9,620,41,2001,concrete,office
93,,Metro Town Tower 3,Hong Kong (CN),188,617,57,2006,concrete,residential
93,,Metro Town Tower 5,Hong Kong (CN),188,617,57,2006,concrete,residential
95,,Exchange Square #1,Hong Kong (CN),188,617,52,1985,concrete,office
95,,Exchange Square #2,Hong Kong (CN),188,617,52,1985,concrete,office
97,,Oxford House Time Warner,Hong Kong (CN),188,617,41,1999,,office
98,,9 Queen's Road Central,Hong Kong (CN),187.3,614,39,1991,steel,office
99,,Millennium City 5,Hong Kong (CN),187,614,45,2004,,office
100,,Landmark East Tower 1,Hong Kong (CN),187,614,43,2008,concrete,office
100,,Landmark East Tower 2,Hong Kong (CN),187,614,43,2008,concrete,hotel / office
102,,Standard Chartered Bank,Hong Kong (CN),187,614,42,1990,steel,office
103,,Festival City III Tower 5,Hong Kong (CN),186.5,612,58,2011,concrete,residential
104,,Entertainment Building,Hong Kong (CN),186.5,612,32,1993,,office
105,,Manhattan Hill 3,Hong Kong (CN),186.4,612,48,2007,concrete,residential
105,,Manhattan Hill 5,Hong Kong (CN),186.4,612,48,2007,concrete,residential
105,,Manhattan Hill 6,Hong Kong (CN),186.4,612,48,2007,concrete,residential
108,,Lippo Tower,Hong Kong (CN),186,610,48,1988,,office
109,,The Westpoint,Hong Kong (CN),185.6,609,41,1999,,office
110,,Manhattan Heights,Hong Kong (CN),185,607,55,2000,concrete,residential
111,,Sino Plaza,Hong Kong (CN),185,607,38,1992,steel,office
112,,AIA Central,Hong Kong (CN),185,607,35,2005,composite,office
113,,Festival City III Tower 1,Hong Kong (CN),184.7,606,58,2011,concrete,residential
113,,Festival City III Tower 2,Hong Kong (CN),184.7,606,58,2011,concrete,residential
113,,Festival City III Tower 3,Hong Kong (CN),184.7,606,58,2011,concrete,residential
116,,Ocean Pointe,Hong Kong (CN),183.7,603,53,2001,concrete,residential
117,,Cadogan,Hong Kong (CN),183.5,602,49,2014,concrete,residential
118,,Vision City Tower 6,Hong Kong (CN),183,600,50,2007,concrete,residential
119,,Banyan Garden 5,Hong Kong (CN),182.7,599,54,2003,concrete,residential
120,,Branksome Crest,Hong Kong (CN),182,597,47,2003,concrete,residential
121,,Three Pacific Place,Hong Kong (CN),182,597,40,2004,concrete,office
122,,Convention Plaza Office Tower,Hong Kong (CN),181.3,595,50,1990,,office
123,,The Pavilia Bay Tower 1,Hong Kong (CN),181.2,595,51,2018,concrete,residential
124,,Liberte 1,Hong Kong (CN),180.9,594,51,2003,concrete,residential
124,,Liberte 2,Hong Kong (CN),180.9,594,51,2003,concrete,residential
124,,Liberte 3,Hong Kong (CN),180.9,594,51,2003,concrete,residential
127,,Immigration Tower,Hong Kong (CN),180.8,593,49,1990,,office
127,,Revenue Tower,Hong Kong (CN),180.8,593,49,1990,,office
129,,AIA Tower,Hong Kong (CN),180.3,592,44,1998,,office
130,,Liberte 5,Hong Kong (CN),180.2,591,52,2003,concrete,residential
130,,Liberte 6,Hong Kong (CN),180.2,591,52,2003,concrete,residential
132,,The Merton 3,Hong Kong (CN),180,591,51,2005,concrete,residential
133,,Banyan Garden 3,Hong Kong (CN),179.8,590,53,2003,concrete,residential
134,,Hong Kong and Shanghai Banking Corporation Headquarters,Hong Kong (CN),178.8,587,43,1985,steel,office
135,,Jardine House,Hong Kong (CN),178.5,586,52,1973,concrete,office
136,,China Resources Building,Hong Kong (CN),178,584,50,1983,concrete,office
137,,Grand Waterfront 1-5,Hong Kong (CN),177,581,57,2007,concrete,residential
137,,Grand Waterfront 6,Hong Kong (CN),177,581,57,2007,concrete,residential
139,,The Oakhill,Hong Kong (CN),177,581,53,2011,concrete,residential
140,,Azura,Hong Kong (CN),177,581,51,2012,concrete,residential
141,,Far East Finance Centre,Hong Kong (CN),176.1,578,48,1982,steel,office
142,,One Kowloon,Hong Kong (CN),176,577,39,2007,,office
143,,Billionaire Royale,Hong Kong (CN),175.5,576,54,2010,concrete,residential
144,,Oscar by the Sea Tower 5,Hong Kong (CN),175.1,574,59,2002,concrete,residential
145,,Vianni Cove 2,Hong Kong (CN),175,574,52,2003,concrete,residential
145,,Vianni Cove 3,Hong Kong (CN),175,574,52,2003,concrete,residential
147,,Enterprise Square 3,Hong Kong (CN),175,574,41,2004,concrete,office
148,,Tavistock II,Hong Kong (CN),175,574,46,1999,concrete,residential
149,,Ocean Shores Tower 1-3,Hong Kong (CN),174.4,572,58,2001,concrete,residential
149,,Ocean Shores Tower 15,Hong Kong (CN),174.4,572,58,2003,concrete,residential
149,,Ocean Shores Tower 16-17,Hong Kong (CN),174.4,572,58,2003,concrete,residential
149,,Ocean Shores Tower 5,Hong Kong (CN),174.4,572,58,2001,concrete,residential
149,,Ocean Shores Tower 6,Hong Kong (CN),174.4,572,58,2001,concrete,residential
149,,Ocean Shores Tower 7,Hong Kong (CN),174.4,572,58,2002,concrete,residential
149,,Ocean Shores Tower 8,Hong Kong (CN),174.4,572,58,2002,concrete,residential
149,,Ocean Shores Tower 9-10,Hong Kong (CN),174.4,572,58,2002,concrete,residential
