Song,IsBlues,Vclm,Vclf,Hca,Kaz,Jug,Mnd,Bjo/Gts,Vln,Pno,Perc
Stingy Woman Blues,X,X,,X,X,X,,X,,,
Memphis Jug Blues,X,3,,,X,X,,2,,,
,,,,,,,,,,,
Sunshine Blues,X,X,,X,X,X,,X,,,
Memphis Boy Blues,X,3,,,X,X,,X,,,
I'm looking for the bully of the town,,3,,,X,X,,X,,,
,,,,,,,,,,,
"I packed my suitcase, started to the train",X,X,X,,X,,X,2,,,
State of Tennessee Blues,X,X,X,,X,,X,2,,,
Bob Lee Junior Blues,X,,X,,X,,X,2,,,
Kansas City Blues,,3,,X,X,,,2,,,
Beale Street Mess Around,X,X,,X,X,,,2,,,
"I'll see you in the spring, when the birds begin to sing",,X,,,X,X,,X,,,
,,,,,,,,,,,
Snitchin' Gambler Blues,,X,,,,X,X,X,,,
Evergreen Money Blues,X,X,,,,X,X,2,,,
Coal Oil Blues,X,X,,X,X,X,,2,,,
Papa Long Blues,X,X,,X,X,X,,2,,,
Peaches in the Springtime,X,2,,,X,X,X,X,,,
She stays out all night long,X,X,,,X,X,X,2,,,
,,,,,,,,,,,
Lindbergh Hop,,2,,,X,X,X,X,,,
Sugar Pudding,,3,,X,X,X,X,X,,,
A black woman is like a black snake,,2,,X,X,,,2,,,
Whitewash station,,2,,X,X,X,X,X,,,
Stealin' Stealin',,3,,X,X,X,,2,,,
Jug Band Waltz,,,,X,X,X,,2,,,
Mississippi River Waltz,,,,X,X,X,,2,,,
,,,,,,,,,,,
I can't stand it,X,2,,,X,X,,2,X,,
What's the matter?,,3,,,X,X,,2,X,,
Dirty Butter,X,X,X,,,,,X,X,X,
The old folks started it,X,,X,X,,X,,X,X,,
Feed your friend with a long-handled spoon,X,X,,,X,X,,2,X,,
I can beat you plenty,,2,,X,X,X,,X,X,,
Taking your place,X,X,,X,X,X,,X,,,
Tired of you driving me,X,X,,X,X,X,,X,,,
Memphis Yo-yo Blues,X,,X,X,,X,,2,,,
KC Moan,X,3,,X,X,X,,2,,,
I whipped my woman with a single tree,,3,,,X,X,,X,,X,
,,,,,,,,,,,
Everybody's Talking about Sadie Green,,X,,,X,X,X,XX,,,
Oh Ambulance Man,X,X,X,,X,X,,2,,,
Cocaine Habit Blues,X,2,X,X,X,X,,X,,,
Jim Strainer Blues,X,X,,,X,X,,2,,,
Cave Man Blues,X,X,,,,X,,2,X,,
It won't act right,,3,,,X,X,,2,,,
Bumblebee Blues,X,,X,X,,X,,2,,,
Meningitis Blues,X,,X,X,,X,,2,,,
Aunt Caroline Dyer Blues,X,X,,,X,X,,2,,,
Stonewall Blues,X,X,,,X,X,,2,,,
Papa's got your bathwater on,X,X,X,X,X,X,,X,,,
Going back to Memphis,X,3,,,X,X,,2,,,
,,,,,,,,,,,
He's in the Jailhouse now,,2,,X,,X,,XX,,,
Got a Letter from my Darlin,,2,,X,X,X,,X,,,
Round and Round,,2,,X,X,X,X,X,,,
You may leave but this will bring you back,,X,,X,,X,X,X,,,
Move that thing,,X,,X,,X,X,X,,,
You got me rolling,,2,,X,,X,X,X,,,
,,,,,,,,,,,
You got to have that thing,,2,,X,,X,X,X,,,X
Tappin' that thing,,2,,X,,X,X,X,,,X
Bottle it up and go,,2,,X,,X,X,X,,,X
I got good taters,,X,,X,,X,X,X,,,X
Come along little chicken,,2,,X,,X,X,X,,,X
,,,,,,,,,,,
Mary Anna Cut Off,X,X,,X,,,,X,,X,X
Jazzbo Stomp,,,,X,,X,,X,,X,X
Gator Wobble,,,,X,,,X,,,X,X
Boodie Bum Bum,,X,,,,,,2,X,X,X
Take your fingers off it,,X,,,,X,,X,X,,X
She done sold it out,,X,,,,X,,2,X,,X
Memphis Shakedown,,,,,,X,,2,X,,X
Rukus Juice and Chittlin',,,,,,X,,2,X,,X
My Business ain't Right,,,,,,X,X,X,X,,X
