,name,species,year,city,count
0,,dog,2000,Seattle,1.0
1,FANCY,dog,2000,Seattle,1.0
2,SKIP,dog,2000,Seattle,1.0
3,KANGA,dog,2000,Seattle,1.0
4,OSCAR,dog,2000,Seattle,1.0
5,CASSIE,dog,2000,Seattle,1.0
6,MATION,dog,2000,Seattle,1.0
7,CASEY,dog,2000,Seattle,1.0
8,BANDIT,dog,2000,Seattle,1.0
9,OSA,dog,2000,Seattle,1.0
10,JEWEL RUBY,dog,2000,Seattle,1.0
11,ZOEY,dog,2000,Seattle,1.0
12,ANNIE,dog,2000,Seattle,1.0
13,CLEO,dog,2000,Seattle,1.0
14,BETSY,dog,2000,Seattle,1.0
15,PRINCESS,dog,2000,Seattle,1.0
16,POPPY,dog,2000,Seattle,1.0
17,MOLLIE,dog,2000,Seattle,1.0
18,MOONIE,dog,2000,Seattle,1.0
19,MAGGIE MAE,dog,2000,Seattle,1.0
20,PALOMA,dog,2000,Seattle,1.0
21,TEQUILA,dog,2000,Seattle,1.0
22,NICKY,dog,2000,Seattle,1.0
23,,dog,2000,Seattle,1.0
24,LUCKY,dog,2000,Seattle,1.0
25,CALLEY,dog,2000,Seattle,1.0
26,EMILY,dog,2000,Seattle,1.0
27,CHARLIE,dog,2000,Seattle,1.0
28,NINA,dog,2000,Seattle,1.0
29,JESSIE,dog,2000,Seattle,1.0
30,PUDDLES,dog,2000,Seattle,1.0
31,SHADOW,dog,2000,Seattle,1.0
32,,dog,2000,Seattle,1.0
33,GOLDIE,dog,2000,Seattle,1.0
34,AUGGIE,dog,2000,Seattle,1.0
35,MALECAH,dog,2000,Seattle,1.0
36,TASHA,dog,2000,Seattle,1.0
37,,dog,2000,Seattle,1.0
38,COCOA,dog,2000,Seattle,1.0
39,ELSAMORE,dog,2000,Seattle,1.0
40,CHELSEA,dog,2000,Seattle,1.0
41,NAHA,dog,2000,Seattle,1.0
42,SUZY,dog,2000,Seattle,1.0
43,SASHA,dog,2000,Seattle,1.0
44,TIERA,dog,2000,Seattle,1.0
45,CINNAMON,dog,2000,Seattle,1.0
46,BROWN SUGAR,dog,2000,Seattle,1.0
47,SHAYSHAY,dog,2000,Seattle,1.0
48,COO,dog,2000,Seattle,1.0
49,MUFFIE,dog,2000,Seattle,1.0
50,EMILY,dog,2000,Seattle,1.0
51,MOCHA,dog,2000,Seattle,1.0
52,RIPLEY,dog,2000,Seattle,1.0
53,NATASHA,dog,2000,Seattle,1.0
54,MOLLY,dog,2000,Seattle,1.0
55,BELLE,dog,2000,Seattle,1.0
56,G-CLOUD,dog,2000,Seattle,1.0
57,MISTY,dog,2000,Seattle,1.0
58,DEE,dog,2000,Seattle,1.0
59,BOO,dog,2000,Seattle,1.0
60,ZOE,dog,2000,Seattle,1.0
61,SPUNKY,dog,2000,Seattle,1.0
62,PEPPER,dog,2000,Seattle,1.0
63,NINA,dog,2000,Seattle,1.0
64,POOKA,dog,2000,Seattle,1.0
65,NIKA,dog,2000,Seattle,1.0
66,PACO,dog,2000,Seattle,1.0
67,ZOE,dog,2000,Seattle,1.0
68,SCHATZIE,dog,2000,Seattle,1.0
69,GRACIE,dog,2000,Seattle,1.0
70,PIPER,dog,2000,Seattle,1.0
71,SAM,dog,2000,Seattle,1.0
72,MATTIE,dog,2000,Seattle,1.0
73,BOOTS,dog,2000,Seattle,1.0
74,LUNA,dog,2000,Seattle,1.0
75,ANNE,dog,2000,Seattle,1.0
76,HANTOS,dog,2000,Seattle,1.0
77,BILLIE,dog,2001,Seattle,1.0
78,GINGER,dog,2001,Seattle,1.0
79,MARLEE,dog,2001,Seattle,1.0
80,MUFFIN,dog,2001,Seattle,1.0
81,BIKU,dog,2001,Seattle,1.0
82,BUDDY,dog,2001,Seattle,1.0
83,ANGEL,dog,2001,Seattle,1.0
84,MOKIE,dog,2001,Seattle,1.0
85,SHEBA,dog,2001,Seattle,1.0
86,NORA,dog,2001,Seattle,1.0
87,FALINA,dog,2001,Seattle,1.0
88,MOJO,dog,2001,Seattle,1.0
89,CHLOE,dog,2001,Seattle,1.0
90,OLGA,dog,2001,Seattle,1.0
91,CANELLE,dog,2001,Seattle,1.0
92,RUFUS,dog,2001,Seattle,1.0
93,LEVI,dog,2001,Seattle,1.0
94,MAGDILINE,dog,2001,Seattle,1.0
95,NATASHA,dog,2001,Seattle,1.0
96,ARLO,dog,2001,Seattle,1.0
97,ISIS,dog,2001,Seattle,1.0
98,GOLDIE,dog,2001,Seattle,1.0
99,ZOE,dog,2001,Seattle,1.0
100,REYNA,dog,2001,Seattle,1.0
101,TAM,dog,2001,Seattle,1.0
102,,dog,2001,Seattle,1.0
103,GODZILLA,dog,2001,Seattle,1.0
104,KEMONDOREX,dog,2001,Seattle,1.0
105,TITO,dog,2001,Seattle,1.0
106,BELLA,dog,2001,Seattle,1.0
107,ISABEL,dog,2001,Seattle,1.0
108,CALI,dog,2001,Seattle,1.0
109,TROUBLE,dog,2001,Seattle,1.0
110,ECHO,dog,2001,Seattle,1.0
111,XIO XIN,dog,2001,Seattle,1.0
112,MISSY,dog,2001,Seattle,1.0
113,KETA,dog,2001,Seattle,1.0
114,BRIDGET,dog,2001,Seattle,1.0
115,COCOA,dog,2001,Seattle,1.0
116,,dog,2001,Seattle,1.0
117,COYOTE,dog,2001,Seattle,1.0
118,SADIE,dog,2001,Seattle,1.0
119,ZOE,dog,2001,Seattle,1.0
120,D.O.G.,dog,2001,Seattle,1.0
121,SOPHIE,dog,2001,Seattle,1.0
122,BEIJOCA,dog,2001,Seattle,1.0
123,KALI,dog,2001,Seattle,1.0
124,SAMANTHA,dog,2001,Seattle,1.0
125,NORI,dog,2001,Seattle,1.0
126,HANNAH,dog,2001,Seattle,1.0
127,MITZI,dog,2001,Seattle,1.0
128,KIRA,dog,2002,Seattle,1.0
129,KALI,dog,2002,Seattle,1.0
130,SAMMIE,dog,2002,Seattle,1.0
131,SASHA,dog,2002,Seattle,1.0
132,JESSIE,dog,2002,Seattle,1.0
133,BODIE,dog,2002,Seattle,1.0
134,TOOTSIE,dog,2002,Seattle,1.0
135,MAGGIE MAE,dog,2002,Seattle,1.0
136,ROSIE,dog,2002,Seattle,1.0
137,BROWNNY,dog,2002,Seattle,1.0
138,LADY,dog,2002,Seattle,1.0
139,LITTLE BIT,dog,2002,Seattle,1.0
140,MIKA KAELY,dog,2002,Seattle,1.0
141,NAUTICA,dog,2002,Seattle,1.0
142,PEPPER,dog,2002,Seattle,1.0
143,RUBY,dog,2002,Seattle,1.0
144,ATHENA,dog,2002,Seattle,1.0
145,JESSIE,dog,2002,Seattle,1.0
146,GODIVA,dog,2002,Seattle,1.0
147,HANA,dog,2002,Seattle,1.0
148,MOLLY,dog,2002,Seattle,1.0
149,CHELSEA,dog,2002,Seattle,1.0
150,JADE,dog,2002,Seattle,1.0
151,BANDIT,dog,2002,Seattle,1.0
152,BUTTERCUP,dog,2002,Seattle,1.0
