Zeitpunkt,Kanton,Ort,Höhe,Expo,Aktivität,Gef. Stufe,erfasst,verschüttet,gestorben
1/11/2003,VS,Bourg-Saint-Pierre,2700,W,1,-,1,0,0
2/11/2003,OW,Engelberg,2600,NE,2,-,1,0,0
29/11/2003,VS,Bourg-Saint-Pierre,2840,W,1,-,1,0,0
16/12/2003,VS,Randogne,2400,E,2,-,1,0,0
17/12/2003,GR,Langwies,2660,NW,2,-,1,1,0
18/12/2003,VS,Bagnes,2900,W,2,-,1,0,0
19/12/2003,GR,Tschierv,2385,E,1,-,2,2,1
23/12/2003,VS,Bagnes,2650,W,2,-,1,1,0
23/12/2003,VS,Kippel / Wiler (Lötschen),2600,E,2,-,2,1,0
29/12/2003,OW,Wolfenschiessen,1930,NW,2,-,2,0,0
29/12/2003,GR,Davos,2260,NW,2,-,11,2,1
29/12/2003,VS,Ried-Brig,1990,NE,1,-,6,3,0
29/12/2003,TI,Airolo,1950,N,2,-,2,1,0
30/12/2003,GR,Samedan,2430,S,1,-,1,0,0
30/12/2003,BE,Adelboden,2540,W,1,-,1,0,0
30/12/2003,UR,Andermatt,2510,NW,2,-,1,0,0
30/12/2003,BE,Adelboden,2300,SW,1,-,3,2,2
1/1/2004,GR,Pontresina,2700,SW,2,-,1,0,0
2/1/2004,GR,Davos,2650,W,1,-,1,0,0
3/1/2004,GR,Tschierv,2850,S,1,-,1,0,0
4/1/2004,VS,Gampel,2730,SE,1,-,1,1,1
4/1/2004,GR,Flims,2850,E,1,-,2,0,0
4/1/2004,GR,Nufenen,2400,S,1,-,1,0,0
5/1/2004,GR,Celerina/Schlarigna,2730,S,2,-,1,0,0
5/1/2004,GR,Celerina/Schlarigna,2490,SE,2,-,1,0,0
9/1/2004,BE,Boltigen,2000,E,1,-,2,0,0
13/1/2004,GR,Vrin,1550,SE,3,-,1,0,0
14/1/2004,GR,St. Moritz / Celerina/Schlarigna (?),2300,NE,2,-,1,0,0
14/1/2004,GR,Arosa,2500,E,2,-,1,0,0
14/1/2004,VS,Nendaz,2280,NW,2,-,1,0,0
15/1/2004,GR,Tschierv,2400,E,1,-,3,2,1
17/1/2004,VS,Bagnes,2650,SW,2,-,4,4,1
21/1/2004,VS,Champéry,2100,SE,2,-,1,0,0
21/1/2004,VS,Wiler,2180,SE,2,-,2,0,0
22/1/2004,BE,Lauterbrunnen / Grindelwald (?),0,,,-,1,0,0
22/1/2004,VS,Grimentz,2840,SW,2,-,2,0,0
23/1/2004,VS,Bagnes,2700,W,2,-,1,1,0
24/1/2004,GR,Lantsch/Lenz,2850,S,2,-,1,0,0
